"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"335","Moderate","Male","Old","High","Hispanic",0.968968614680788,0.784043329835545
"336","Conservative","Male","Old","Moderate","Hispanic",0.963810050849373,0.815179944362042
"337","Liberal","Male","Young","High","Black",0.870920409539469,0.760098316244517
"338","Moderate","Male","Old","Moderate","White",0.975712579182068,0.787374752689193
"339","Moderate","Male","Old","Moderate","Hispanic",0.96064881816148,0.811066354884792
"340","Moderate","Female","Old","High","Black",0.993495003765792,0.814750218317411
"341","Very conservative","Male","Middle-aged","High","White",0.852810249767526,0.73443980492247
"342","Liberal","Male","Middle-aged","High","White",0.968731545960427,0.74702405847714
"343","Moderate","Male","Middle-aged","Moderate","White",0.936920257819569,0.774485311457275
"344","Liberal","Female","Old","Moderate","White",0.991884024609212,0.809098966975498
"345","Liberal","Female","Young","High","Hispanic",0.958817202052136,0.803921872271561
"346","Very liberal","Female","Old","High","White",0.997426478125679,0.789993477609674
"347","Liberal","Male","Middle-aged","Moderate","White",0.955222084398547,0.783690598402009
"348","Conservative","Male","Old","Moderate","White",0.932649642359309,0.77712440480792
"349","Conservative","Male","Old","High","Hispanic",0.956355406761988,0.790773618602176
"350","Liberal","Female","Young","Low","Black",0.930907800350058,0.811994110867966
"351","Conservative","Male","Old","Moderate","White",0.931237806813989,0.78479868604714
"352","Conservative","Female","Old","Low","White",0.974070061373641,0.815911038440727
"353","Moderate","Male","Old","High","Black",0.980231443678853,0.782145095168653
"354","Liberal","Female","Middle-aged","High","Other",0.984213486006452,0.785819415032427
"355","Moderate","Male","Middle-aged","High","White",0.870435642722919,0.746611181139946
"356","Very liberal","Male","Middle-aged","Moderate","White",0.93591088338665,0.767021364610943
"357","Moderate","Female","Middle-aged","High","Hispanic",0.983122731350361,0.803422251739233
"358","Conservative","Male","Middle-aged","Moderate","Hispanic",0.853636449318128,0.797219106290947
"359","Moderate","Male","Middle-aged","High","White",0.952425623005471,0.7446372683053
"360","Liberal","Female","Middle-aged","Moderate","Black",0.9710624915417,0.815413972879534
"361","Liberal","Female","Middle-aged","Low","Hispanic",0.952856474237105,0.830121556411353
"362","Very liberal","Male","Young","High","White",0.935438569729191,0.749860494937104
"363","Moderate","Male","Middle-aged","High","Hispanic",0.93795921640269,0.790436379333676
"364","Conservative","Male","Middle-aged","Moderate","Hispanic",0.883423480359452,0.800406192405859
"365","Very conservative","Male","Middle-aged","High","Hispanic",0.828196903639357,0.766534465550844
"366","Conservative","Male","Old","Moderate","White",0.944674024373969,0.779860204503364
"367","Conservative","Female","Middle-aged","Moderate","White",0.97517114732336,0.802049448048425
"368","Liberal","Female","Old","Moderate","Black",0.996425229053181,0.83192971428966
"369","Moderate","Male","Old","Low","Black",0.926595787377571,0.803348074924872
"370","Moderate","Female","Old","Moderate","White",0.994260611583631,0.816238789411429
